course_name,key
PROCESOS INDUSTRIALES,1918
DISEÑO DE LA CADENA DE SUMINISTROS,2804
INSTALACIONES INDUSTRIALES,2805
AUTOMATIZACION INDUSTRIAL,0572
SISTEMAS MEJORAMIENTO AMBIEN,2137
PRACTICAS PROFESIONAL.ING.INDUSTRIAL,2917
ANALISIS Y MEJORA DE PROCESOS,2919
DIRECCION DE PROYECTOS,2920
SIMULACION,2921
MOVILIDAD I,2200
MOVILIDAD II,2201
MOVILIDAD III,2202
MOVILIDAD IV,2203
MOVILIDAD V,2204
MOVILIDAD VI,2205
MOVILIDAD VII,2206
MOVILIDAD VIII,2207
MOVILIDAD IX,2208
MOVILIDAD X,2209
MOVILIDAD XI,2210
INTRODUCCION A LA INGENIERIA MECANIC,2212
MATERIALES I,2400
TERMODINAMICA APLICADA,0901
ELEMENTOS MEC.MEDIO CONTINUO,1521
MATERIALES II,2500
SISTEMAS DE CONVERSION ENERG.TERMICA,2501
MECANICA D FLUIDOS I,0462
MODELADO DE SISTEMAS FISICOS,0508
MANUFACTURA II,2603
MECANISMOS,1659
MECANICA DE FLUIDOS II,1756
DISEÑO DE ELEMENTOS DE MAQUINAS,1782
INSTRUMENTACION Y CONTROL,1807
TRANSFERENCIA DE CALOR,1860
DINAMICA DE MAQUINARIA,2806
AIRE ACONDI.Y REFRIGERACION,0021
INGENIERIA DE PROCESOS INDUSTRIALES,0354
DETERIORO DE MATERIALES,0997
INGENIERIA DE SUPERFICIES,0999
BIOMECANICA,1009
DISEÑO DE SISTEMAS TERMICOS,2074
TEMAS SELECTOS DE TERMOFLUIDOS I,2077
TEMAS SELECTOS DE TERMOFLUIDOS II,2078
ROBOTICA,2135
AHORRO DE ENERGIA,2802
ANALISIS POR ELEMENTOS FINITOS,2922
SISTEMAS MANUFACTURA FLEXIBLE,3064
INGENIERIA AUTOMOTRIZ I,3071
DISEÑO SUSTENTABLE,3078
INGENIERIA AUTOMOTRIZ II,3080
PLANTAS TERMOELECTRICAS Y SIST.COGEN,3081
TEMAS SEL.INGENIERIA DE DISEÑO I,3083
TEMAS SEL. INGENIERIA DE DISEÑO II,3084
TEMAS SEL. DE INGENIERIA MECANICA I,3085
TEMAS SEL. DE INGENIERIA MECANICA II,3086
TEMAS SEL.ING.MATERIALES-MANUFAC. I,3087
TEMAS SEL.ING.MATERIALES-MANUFAC.II,3088
TEMAS SEL. DE MECATRONICA I,3089
TEMAS SEL. DE MECATRONICA II,3090
INTRODUCCION INGENIERIA PETROLERA,1126
GEOLOGIA DE YACIMIENTOS DE FLUIDOS,1331
FLUIDOS DE PERFORACION,1439
GEOLOGIA Y GEOQUIMICA DEL PETROLEO,1440
PROPIEDADES DE LS FLUIDOS PETROLEROS,1442
BOMBEO Y COMPRESION DE HIDROCARBURO,1588
PRINCIPIOS DE MECANICA DE YACIMIENT.,1589
REGISTROS GEOFISICOS EN POZOS,1591
PROGRAMACION AVANZADA,1666
INGENIERIA DE PERFORACION DE POZOS,1068
CARACTERIZACION ESTATICA DE YACIMIEN,1980
COMPORTAMIENTO DE YACIMIENTOS,1981
FLUJO MULTIFASICO EN TUBERIAS,1982
PRODUCTIVIDAD DE POZOS,1983
CARACTERIZAC DINAMICA DE YACIMIENTOS,1984
PERFORACION NO CONVENCIONAL,1985
RECUPERACION SECUNDARIA Y MEJORADA,1986
SISTEMAS ARTIFICIALES DE PRODUCCION,1987
INGENIERIA DE YACIMIENTOS DE GAS,1988
TERMINACION Y MANTENIMIENTO DE POZOS,1989
ADMON.SEGUR.INDUSTR.PROTEC.AMBIENT.,1861
ADMINISTRACION INTEGRAL DE YACIMIENT,1990
CONDUC MANEJO DE PRODUCC HIDROCARBU,1991
ECONOMIA DE LOS HIDROCARBUROS,1992
TEM. SEL. DE INGENIERIA PETROLERA,1116
LEGISLACION DE INDUSTRIA PETROLERA,1993
PLANEACION Y EVALUAC PROYEC PETROLER,1994
PROYECTOS INTEGRALES PETROLEROS,1995
ASEGURAMIENTO DE FLUJO,0956
CARACTERIZ ESTATICA DINAMICA DE YNF,0960
COMERCIALIZACION CRUDO Y GAS NATURAL,0970
FRACTURAMIENTO HIDRAULICO,0977
METROLOGIA APLIC MEDIC CAUDAL HIDROC,0978
METODOS GEOFICOS PARA PETROLEROS,0979
PERFORACION POZOS AGUAS PROFUNDAS,2011
REGISTROS EN POZO ENTUBADO,2013
SIMULACION NUMER YACIM NATUR FRACTUR,2067
YACIMIENTOS GAS BAJA PERMEABILIDAD,2069
TECNICAS DE PROGRAMACION,1472
TEMAS SEL. DE PROGRAMACION I,1964
SISTEMAS ELECTRONICOS LINEALES,1973
CIRCUITOS DIGITALES,1996
MAQUINAS ELECTRICAS,0549
CONTROL AUTOMATICO,0551
DISEÑO MECATRONICO,0563
DISEÑO Y MANUFACT. ASIST. COMPUTADOR,0972
ADMINISTRACION,0018
INTRODUC. SISTEMAS NO LINEALES,0574
DISEÑO DEL PRODUCTO,0971
INGENIERIA DE DISEÑO,0992
LEGISLACION INDUSTRIAL,1074
SISTEMAS DE COMERCIALIZACION,1115
AUTOMATIZACION AVANZADA,1198
CONTROL APLICADO,2035
CONTROL AVANZADO,2909
SISTEMAS TERMOENERGETICOS,2926
TEMAS SEL. DE INGENIERIA BIOMEDICA,3007
TEMAS SEL.GESTION CADENA SUMINISTROS,3068
TEMAS SEL.DIRECCION-CREAC.EMPRESAS,3077
TEMAS SEL. DE PROGRAMACION II,3098
PRACTICAS DE TOPOGRAFIA I,1110
TOPOGRAFIA I,1114
PRACTICAS DE TOPOGRAFIA II,1217
TOPOGRAFIA II,1218
FOTOGRAMETRIA,1334
ELECTROMAGNETISMO Y OPTICA,1446
ESTADISTICA APLICADA ING. GEOMATICA,1447
PROCESOS FOTOGRAMETRICOS,1449
GEODESIA II,1533
INTRODUCCION BASE DATOS ESPACIALES,1534
GEOLOGIA Y GEOMORFOLOGIA,1542
MODELACION MATEMATICA,1543
CARTOGRAFIA,1750
TEORIA DE LOS ERRORES,1637
GEODESIA III,1646
SISTEMAS INFORMACION GEOGRAFICA I,1652
CALCULO DE AJUSTES,1548
HIDRAULICA E HIDROLOGIA,1581
PERCEPCION REMOTA I,1689
SISTEMAS INFORMACION GEOGRAFICA II,1753
TOPOGRAFIA DE YACIMIENTOS MINERALS,2070
FUNDAMENTOS DE CATASTRO,1599
GESTION AMBIENTAL,1648
LEGISLACION APLIC.INGENIERIA GEOMAT.,1649
PROYECTO GEOMETRICO OBRAS INFRAEST,1679
PERCEPCION REMOTA II,1752
PROYECTO GEOMATICO,1854
ADMINISTRACION DE PROYECTOS,1947
PRACTICAS PROFESIONALES,1960
HIDROGRAFIA,2068
ASTRONOMIA DE POSICION,2935
CARTOGRAFIA DIGITAL,2936
GEOMATICA APLICADA AL ORDENAM.TERRIT,2937
GEOMATICA APLICADA AL TRANSPORTE,2938
METODOS GEOFISICOS,2939
PREANALISIS Y DISEÑO PROYEC.TOPOGRAF,2940
PROGRAMACION APLIC. A LA GEOMATICA,2941
TOPOGRAFIA APLIC.CONSTRUC.EDIFICACIO,2942
INTRODUC A LA ING SISTEMAS BIOMEDICO,1224
BIOQUIMICA,1320
BIOLOGIA CELULAR Y TISULAR,1434
INTRODUCC A ANATOMIA Y FISIOLOG I,1571
INTRODUCC A ANATOM Y FISIOLOG II,1693
MECANICA DEL CUERPO HUMANO,1778
PSICOLOGIA MEDICA,1779
ASPECT LEGALES ORGAN ATN MEDICA,1895
INSTALACIONES HOSPITALARIAS,1896
ESTANCIA,1976
TEMAS SELEC INGEN SIST BIOMED I,1797
TEMAS SELEC INGEN SIST BIOMED II,1798
TEMAS SELEC INGEN SIST BIOMED III,1799
TEMAS SELEC INGEN SIST BIOMED IV,1897
TEMAS SELEC INGEN SIST BIOMED V,1898
TEMAS SELEC INGEN SIST BIOMED VI,1899
TEMAS SELEC INGEN SIST BIOMED VII,1977
TEMAS SELEC AREA MEDICO BIOLOGICA,1978
INTRODUCC. AL ESTUDIO DEL MEDIO AMB.,1230
QUIMICA INORGANICA,1231
FISICOQUIMICA PARA ING. AMBIENTAL,1335
BIOLOGIA,1474
QUIMICA ORGANICA,1475
ECOLOGIA E INGENIERIA,1886
INGENIERIA DE LOS PROCESOS BIOLOGIC.,1887
MECANICA DE FLUIDOS PARA ING.AMBIENT,2502
TRANSFERENCIA DE MASA Y ENERGIA,2505
CONDUCTOS A PRESION Y A SUPERF.LIBRE,2608
CONOCIMIENTO TERRITORIAL,2609
ECONOMIA AMBIENTAL Y ECOLOGICA,2610
EVALUACION DE LA CALIDAD DEL AGUA,2611
HIDROLOGIA SUPERFICIAL,2612
TRANSPORT.DISPERS.CONTAMIN.ATMOSFER.,2613
EVALUACION DE LA CALIDAD DEL AIRE,2710
GESTION INTEGRAL DE RESIDUOS SOL.URB,2711
OPERACIONES Y PROCESOS UNITARIOS,2712
CONTAMINACION POR RUIDO Y CONTROL,2818
CONTROL DE EMISIONES A LA ATMOSFERA,2819
EVALUACION AMBIENTAL ESTRATEGICA,2820
GESTION INTEGRAL DE RESID.MANEJO ESP,2821
MATERIALES Y RESIDUOS PELIGROSOS,2822
PROYECT.PLANTAS.TRATAM.AGUA CONS.HU,2823
CONTROL DE CONTAM.SUELOS Y ACUIFEROS,2824
EVALUACION DE IMPACTO AMBIENTAL,2825
PROYECT.PLANTAS TRATAM.AGUA RESIDUAL,2826
SIST.RECUPER.RECURSOS Y ENERGIA,2827
EVALUACION DE RIESGO AMBIENTAL,2829
INTRODUCCION A GERENCIA DE PROYECTOS,3025
PREPARACION DE CURSOS OBRA PUBLICA,3026
SUPERVISION DE OBRAS,3028
INTRODUCC.A INGENIERIA AEROESPACIAL,1144
DIBUJO INDUSTRIAL,1219
MEDIO AMBIENTE AEROESPACIAL,1245
FUNDAMENTOS PROBABILIDAD-ESTADISTICA,1337
FUNDAMENTOS DE MECANICA DE VUELO,1476
DERECHO AEREO Y ESPACIAL,1477
INGENIERIA TERMICA,2614
AERODINAMICA,2713
FUNDAMENTOS SISTEMS.ELECTRON.ANALOG,2714
VIBRACIONES,2715
AVIONICA I,2811
DESARROLLO DE EMPRENDEDORES,2812
ESTRUCTURAS AEROESPACIALES,2828
FUNDAMENTOS ANTENAS-SIST.RADIOTRANC,2830
SISTEMAS DE PROPULSION,2831
MODELADO BASADO EN DISEÑO,2980
ADMON.DE LA INNOVACION TECNOLOGICA,1281
FORMACION DE DIRECTIVOS,1282
DESARROLLO DE PROYECTOS TECNOLOGIC.,1283
EMPRENDIMIENTO EN INCUBADORAS DE TEC,1284
FUMDAMENTOS D INTELIGENCIA EMOCIONAL,1285
PROPIEDAD INTELECTUAL,1286
RELACIONES Y COMERCIO INTERNACIONAL,1287
TEMAS SELEC.CIENCIAS ECONOM.ADMVAS.,1288
